day,date,time,artist,event,location,row,ticket_info,price,retailer,time_of_search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",6,Mobile Tickets 2 Tickets,182,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",43,Zone Seating 1 - 10 Tickets,186,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",52,Mobile Tickets - Zone Seating 2 - 4 Tickets,210,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",5,Mobile Tickets 1 - 4 Tickets,225,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",41,Mobile Tickets - Zone Seating 2 - 4 Tickets,256,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",5,Mobile Tickets 1 - 4 Tickets,264,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",36,Mobile Tickets - Zone Seating 2 - 4 Tickets,317,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",52,Mobile Tickets - Zone Seating 2 - 4 Tickets,365,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",41,Mobile Tickets - Zone Seating 2 - 4 Tickets,382,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",36,Mobile Tickets - Zone Seating 2 - 4 Tickets,527,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,date,time,artist,event,location,row,ticket_info,price,retailer,time_of_search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO", GA,Up to 18 tickets available 1 - 18 Tickets,76,vividseats,3/27/19 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",46,Mobile Tickets 2 Tickets,104,vividseats,3/27/19 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
